Benzene_Dimer_Stack_eV  095             100             105             110             115
PBE-MBD_SCS             -12627.998645   -12628.038089   -12628.047362   -12628.041540   -12628.029119
PBE-XDM_C6              -12627.870582   -12627.923194   -12627.942015   -12627.942514   -12627.933874
PBE-MBD_NL              -12628.077348   -12628.114687   -12628.123063   -12628.117072   -12628.105184
PBE-TS                  -12627.766052   -12627.805723   -12627.805514   -12627.787995   -12627.765518
